imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.7.1-1
inetutils 1.9.4-8
iniparser 4.1-3
inxi 3.3.01.1-1
iproute2 5.10.0-2
iptables 1:1.8.7-1
iputils 20200821-1
iso-codes 4.5.0-1
isousb 1.5-3
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.24-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jpegexiforient 1:20090111.b4f886f-2
jre-openjdk 15.0.2.u7-1
jre-openjdk-headless 15.0.2.u7-1
js78 78.7.1-1
json-c 0.15-1
json-glib 1.6.0-1
jsoncpp 1.9.4-1
k3b 1:20.12.2-1
kaccounts-integration 20.12.2-1
kaccounts-providers 20.12.2-1
kactivities 5.78.0-1
kactivities-stats 5.78.0-1
kactivitymanagerd 5.20.5-1
kamera 20.12.2-1
karchive 5.78.0-1
kate 20.12.2-1
kauth 5.78.0-1
kbd 2.3.0-2
kbookmarks 5.78.0-1
kcalc 20.12.2-1
kcmutils 5.78.0-1
kcodecs 5.78.0-1
kcolorpicker 0.1.5-1
kcompletion 5.78.0-2
kconfig 5.78.0-1
kconfigwidgets 5.78.0-1
kcontacts 1:5.78.0-1
kcoreaddons 5.78.0-1
kcrash 5.78.0-1
kdbusaddons 5.78.0-1
kde-cli-tools 5.20.5-1
kde-gtk-config 5.20.5-2
kdeclarative 5.78.0-1
kdeconnect 20.12.2-1
kdecoration 5.20.5-1
kded 5.78.0-1
kdegraphics-thumbnailers 20.12.2-1
kdelibs4support 5.78.0-1
kdenetwork-filesharing 20.12.2-1
kdeplasma-addons 5.20.5-1
kdesu 5.78.0-1
kdnssd 5.78.0-1
kdoctools 5.78.0-1
kdsoap 1.10.0-1
kdsoap-ws-discovery-client git20200927-1
keditbookmarks 20.12.2-1
kemoticons 5.78.0-1
kernel-alive 0.5-1
keyutils 1.6.3-1
kfilemetadata 5.78.0-1
kfind 20.12.2-1
kgamma5 5.20.5-1
kget 20.12.2-1
kglobalaccel 5.78.0-1
kguiaddons 5.78.0-1
khelpcenter 20.12.2-1
kholidays 1:5.78.0-1
khotkeys 5.20.5-1
khtml 5.78.0-1
ki18n 5.78.0-1
kiconthemes 5.78.0-1
kidletime 5.78.0-1
kimageannotator 0.4.0-2
kimageformats 5.78.0-1
kinfocenter 5.20.5-1
kinit 5.78.0-1
kio 5.78.0-3
kio-extras 20.12.2-1
kirigami2 5.78.0-1
kitemmodels 5.78.0-1
kitemviews 5.78.0-1
kjobwidgets 5.78.0-1
kjs 5.78.0-1
kmenuedit 5.20.5-1
kmod 28-1
knewstuff 5.78.0-1
knotifications 5.78.0-1
knotifyconfig 5.78.0-1
konsole 20.12.2-1
konversation 20.12.2-1
kpackage 5.78.0-1
